# freq	per	pow	amp
 2.7961848065832307E-001	 3.5763015293039224E+000	 1.0048813527468939E+001	 7.5987251574431883E-002
 2.8094055385292505E-001	 3.5594718750483745E+000	 8.0509645461893058E+000	 6.7629521671535228E-002
 2.8226262704752703E-001	 3.5427998756336283E+000	 7.8957927229773750E+000	 6.7757497500852609E-002
 2.8358470024212901E-001	 3.5262833260968751E+000	 7.2537279123836926E+000	 6.4604636141658053E-002
 2.8490677343673099E-001	 3.5099200624026903E+000	 5.2416408031563506E+000	 5.5200270618176041E-002
 2.8622884663133297E-001	 3.4937079604978285E+000	 2.9000460400059915E+000	 4.2200507452257743E-002
 2.8755091982593495E-001	 3.4776449353920915E+000	 1.2256013807123689E+000	 2.7281103432802940E-002
 2.8887299302053693E-001	 3.4617289402644391E+000	 6.5513553319070561E-001	 1.9679937593834500E-002
 2.9019506621513891E-001	 3.4459579655935308E+000	 5.1443535234183835E-001	 1.7129679857774645E-002
 2.9151713940974089E-001	 3.4303300383119275E+000	 4.2418114741489032E-001	 1.5585202846895711E-002
 2.9283921260434287E-001	 3.4148432209832058E+000	 6.4898304859817646E-001	 1.9425973790602114E-002
 2.9416128579894485E-001	 3.3994956110012589E+000	 1.2294574162064973E+000	 2.7050469905574817E-002
 2.9548335899354683E-001	 3.3842853398110968E+000	 1.4204812526984909E+000	 2.9053884225213929E-002
 2.9680543218814881E-001	 3.3692105721504686E+000	 1.0377845028526131E+000	 2.4782558191834007E-002
 2.9812750538275079E-001	 3.3542695053116640E+000	 6.5313351665453345E-001	 1.9764450054069151E-002
 2.9944957857735277E-001	 3.3394603684228712E+000	 5.0824773151709168E-001	 1.7441326854590891E-002
 3.0077165177195475E-001	 3.3247814217484852E+000	 4.6523345444147718E-001	 1.6639432263255882E-002
 3.0209372496655673E-001	 3.3102309560077918E+000	 2.9687785975821868E-001	 1.3167125102379076E-002
 3.0341579816115871E-001	 3.2958072917114616E+000	 5.2289268988596274E-002	 5.5010597863651839E-003
 3.0473787135576069E-001	 3.2815087785153167E+000	 8.7636327277400353E-002	 7.1084070789233320E-003
 3.0605994455036267E-001	 3.2673337945908449E+000	 2.3140285779980035E-001	 1.1497063539794244E-002
 3.0738201774496465E-001	 3.2532807460119595E+000	 9.4480078489776409E-002	 7.3155296560468127E-003
 3.0870409093956663E-001	 3.2393480661575187E+000	 5.6380193709561911E-002	 5.8395984353869215E-003
 3.1002616413416861E-001	 3.2255342151291289E+000	 3.4300952085553649E-001	 1.4277220787085062E-002
 3.1134823732877059E-001	 3.2118376791837822E+000	 4.8900850863678108E-001	 1.6995576681735736E-002
 3.1267031052337257E-001	 3.1982569701808914E+000	 3.8510589884515262E-001	 1.5034532176180469E-002
 3.1399238371797455E-001	 3.1847906250432878E+000	 3.1761424291699331E-001	 1.3715114799713164E-002
 3.1531445691257654E-001	 3.1714372052317854E+000	 3.8113880270263645E-001	 1.4902587899715408E-002
 3.1663653010717852E-001	 3.1581952962329058E+000	 4.6022807056571702E-001	 1.6276077882284329E-002
 3.1795860330178050E-001	 3.1450635070593802E+000	 4.0264383687869315E-001	 1.5227155491095861E-002
 3.1928067649638248E-001	 3.1320404697630684E+000	 3.6487288607160190E-001	 1.4302487730378377E-002
 3.2060274969098446E-001	 3.1191248389599218E+000	 5.4055244749933484E-001	 1.7869347573756425E-002
 3.2192482288558644E-001	 3.1063152913666574E+000	 5.6826052524082848E-001	 1.8127943750701668E-002
 3.2324689608018842E-001	 3.0936105253487982E+000	 3.6555698478534770E-001	 1.4607356036156481E-002
 3.2456896927479040E-001	 3.0810092604797603E+000	 3.1901477420483876E-001	 1.3550338127866856E-002
 3.2589104246939238E-001	 3.0685102371106741E+000	 7.5338553449842760E-001	 2.1327963834305217E-002
 3.2721311566399436E-001	 3.0561122159506313E+000	 1.0517214405261077E+000	 2.4878853666251841E-002
 3.2853518885859634E-001	 3.0438139776570674E+000	 6.7870366868188536E-001	 1.9617268560034044E-002
 3.2985726205319832E-001	 3.0316143224359973E+000	 2.5832825841477036E-001	 1.2431567063383634E-002
 3.3117933524780030E-001	 3.0195120696518218E+000	 2.8679737913749115E-001	 1.3180790416960044E-002
 3.3250140844240228E-001	 3.0075060574464469E+000	 4.1600994766826316E-001	 1.5776054159356085E-002
 3.3382348163700426E-001	 2.9955951423674514E+000	 5.7814837409712205E-001	 1.8505834618345034E-002
 3.3514555483160624E-001	 2.9837781990050551E+000	 8.2625652132473337E-001	 2.1902350661371587E-002
 3.3646762802620822E-001	 2.9720541196376482E+000	 6.6673719056118941E-001	 1.9663772148329865E-002
 3.3778970122081020E-001	 2.9604218138856422E+000	 2.6982060058089113E-001	 1.2518553851336687E-002
 3.3911177441541218E-001	 2.9488802083734176E+000	 4.0186687303566887E-001	 1.5635384452102868E-002
 3.4043384761001416E-001	 2.9374282463991519E+000	 8.7616030029404124E-001	 2.2994828369458355E-002
 3.4175592080461614E-001	 2.9260648876123083E+000	 1.0837022153172364E+000	 2.4965248349579642E-002
 3.4307799399921812E-001	 2.9147891076985806E+000	 1.0863147352383233E+000	 2.4326875981315672E-002
 3.4440006719382010E-001	 2.9035998980720987E+000	 1.1397232821846697E+000	 2.5333759380937879E-002
 3.4572214038842208E-001	 2.8924962655746911E+000	 9.1288273416806553E-001	 2.3163216389494704E-002
 3.4704421358302406E-001	 2.8814772321820259E+000	 3.3948281706259020E-001	 1.4047976607417472E-002
 3.4836628677762604E-001	 2.8705418347164398E+000	 1.4171329539621241E-001	 9.1441124376246234E-003
 3.4968835997222802E-001	 2.8596891245662830E+000	 3.4380343315213852E-001	 1.4167244318607905E-002
 3.5101043316683000E-001	 2.8489181674116080E+000	 2.0861066063713060E-001	 1.0996794573459236E-002
 3.5233250636143199E-001	 2.8382280429560298E+000	 1.1654980721082975E-002	 2.5809503545454896E-003
 3.5365457955603397E-001	 2.8276178446646054E+000	 4.0605048623899648E-001	 1.5216921578736151E-002
